"","motion_no","title","proposed_by","tabled_dt","debate_dt","motion_text"
"104","NDM6123","NDM6123 - Short Debate","Hannah Blythyn",2016-10-26,2016-10-26,"Short Debate"
"105","NDM6124","NDM6124 - Assembly Debate","Elin Jones",2016-10-19,2016-10-19,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3 and 17.13(ii), elects Dai Lloyd (Plaid Cymru) as a Member of the Constitutional and Legislative Affairs Committee."
"106","NDM6125","NDM6125 - Assembly Debate","Elin Jones",2016-10-19,2016-10-19,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3 and 17.13(ii), elects;1. Llyr Gruffydd (Plaid Cymru) as a Member of the Standards of Conduct Committee, and2. Adam Price (Plaid Cymru) as an alternate member of the Standards of Conduct Committee."
"107","NDM6126","NDM6126 - Assembly Debate","Paul Davies",2016-10-26,2016-10-26,"To propose that the National Assembly for Wales:1. Regrets that the previous Welsh Government failed to deliver on its ambition in the 2011 programme for government that all residential premises and all businesses in Wales would have access to next generation broadband by 2015.2. Recognises that Wales has the highest average of people who do not use the internet in Britain and calls on the Welsh Government to do more to promote digital literacy and set a more ambitious target for broadband exploitation.3. Calls on the Welsh Government to:(a) work with Ofcom, the UK Government and network operators, to deliver universal access to high speed broadband and mobile coverage;(b) reform the planning system to promote telecoms infrastructure investment and network deployment;(c) reflect on the progress made by the Scottish Government through its mobile action plan and bring forward a plan to deliver next generation mobile coverage in areas of market failure; and(d) provide a timescale for its commitment to procure a contract to extend superfast broadband access to every property in Wales. ‘Welsh Government Programme for Government 2011-2016’ ‘Scottish Government Mobile Action Plan’"
"108","NDM6127","NDM6127 - Government Debate","Jane Hutt",2016-10-25,2016-10-25,"To propose that the National Assembly for Wales:Notes the Equality and Human Rights Commission Wales Annual Review 2015-16, 'Towards a Fairer Wales'.Equality and Human Rights Commission Wales Annual Review 2015-16 ""Towards a Fairer Wales"""
"109","NDM6128","NDM6128 - Assembly Debate","Neil Hamilton",2016-10-26,2016-10-26,"To propose that the National Assembly for Wales:"
"110","NDM6129","NDM6129 - Assembly Debate","Rhun ap Iorwerth",2016-10-26,2016-10-26,"To propose that the National Assembly for Wales:"
"111","NDM6130","NDM6130 - Assembly Debate","Elin Jones",2016-11-01,2016-11-01,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.14, elects Neil McEvoy (Plaid Cymru) as a Member of the Public Accounts Committee in place of Rhun ap Iorwerth (Plaid Cymru)."
"112","NDM6131","NDM6131 - Assembly Debate","Elin Jones",2016-11-01,2016-11-01,"To propose that the National Assembly for Wales, in accordance with Standing Order 17.3, elects Dafydd Elis-Thomas (Independent) as a Member of the Constitutional and Legislative Affairs Committee."
"113","NDM6132","NDM6132 - Assembly Debate","Paul Davies",2016-11-02,2016-11-02,"To propose that the National Assembly for Wales:1. Notes that, according to the Royal British Legion's 2014 Household Survey, there are 385,000 members of the current, and former, service community in Wales.2. Recognises that those who serve or who have served in the armed forces and their families, should be treated with fairness and respect.3. Believes that Wales should be at the forefront of implementing the Armed Forces Covenant, which is intended to ""redress the disadvantages that the armed forces community may face in comparison to other citizens, and to recognise sacrifices made"".4. Calls on the Welsh Government to:a) note the Scottish Government's creation of a veterans commissioner, to champion the needs of the armed forces community, and further calls on the Welsh Government to create an armed forces commissioner for Wales which would be dedicated both to veterans and the wider armed forces community, with the overall objective of improving outcomes for both veterans and serving forces; andb) introduce a veterans needs assessment as the basis for delivering services to ensure that former members of the armed forces are entitled to receive the support they deserve.'Royal British Legion's 2014 household survey''Armed Forces Covenant'"
"114","NDM6133","NDM6133 - Short Debate","Julie Morgan",2016-11-02,2016-11-02,"The loss of heart research at Cardiff Medical School"
"115","NDM6134","NDM6134 - Assembly Debate","Rhun ap Iorwerth",2016-11-02,2016-11-02,"To propose that the National Assembly for Wales:1. Notes the Welsh Government's target of a million Welsh speakers by 2050.2. Regrets that the percentage of seven-year-old learners being taught through the medium of Welsh has stagnated in recent years.3. Calls on the Welsh Government to strengthen Welsh-medium provision across all education sectors as a central part of its strategy to achieve this target."
"116","NDM6135","NDM6135 - Government Debate","Jane Hutt",2016-11-08,2016-11-08,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5: Approves that the draft The Residential Property Tribunal Procedures and Fees (Wales) Regulations 2016 is made in accordance with the draft laid in the Table Office on 18 October 2016."
"117","NDM6136","NDM6136 - Government Debate","Jane Hutt",2016-11-08,2016-11-08,"To propose that the National Assembly for Wales:Notes the Children's Commissioner for Wales' Annual Report 2015-16.'Children's Commissioner for Wales' Annual Report 2015-16'"
"118","NDM6139","NDM6139 - Assembly Debate","Suzy Davies",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.16:Agrees the budget of the Assembly Commission for  2017-18, as specified in Table 1 of the ""National Assembly for Wales Assembly Commission Budget 2017-18"", laid before the Assembly on 9 November 2016 and that it be incorporated in the Annual Budget Motion under Standing Order 20.26 (ii)."
"119","NDM6140","NDM6140 - Assembly Debate","Paul Davies",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:1. Recognises the important and valuable contribution made to Welsh society by older people.2. Believes that older people deserve dignity and respect, as well as independence and the freedom to make decisions about their own lives.3. Regrets the Welsh Government's failure to provide security for older people by setting a cap on costs and protecting £100,000 of assets for those in residential care ensuring people do not lose their life savings and homes to care costs.4. Notes the findings from a dementia report produced by the Older People's Commissioner for Wales that highlighted the difficulties those with dementia have in accessing the information, support, and services that can make a big difference to their lives.5. Calls on the Welsh Government to:a) Introduce an Older People's Rights Bill, to extend and promote the rights of older people; b) Place a duty on public sector bodies to consult older people when making decisions which affect their lives; and c) Make Wales the first dementia-friendly nation in the UK.'Dementia Report'"
"120","NDM6141","NDM6141 - Assembly Debate","Mark Reckless",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:Supports the abolition of tolls on the Severn bridges following their return to the public sector."
"121","NDM6142","NDM6142 - Short Debate","Hefin David",2016-11-09,2016-11-09,"The value of small and medium-sized enterprises to the Welsh economy"
"122","NDM6143","NDM6143 - Member Debates","Lee Waters",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:1. Recognises the enormous potential benefits of the application of 'big data' in agriculture.2. Notes the growth in research and development in precision agriculture as a way of increasing yields, maximising the use of scarce resources and minimising the use of harmful chemicals.3. Calls on the Welsh Government to develop a strategy to put Wales at the forefront of the development of precision agriculture."
"123","NDM6144","NDM6144 - Member Debates","Jenny Rathbone",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:Notes that a) levels of obesity across Wales continue to rise and obesity is more prevalent amongst poorer communities;b) changing people's eating habits is complicated and involves a combination of good food availability, affordability and cookery skills;c) the Active Travel (Wales) Act 2013 has yet to impact significantly on the amount of exercise people undertake;d) declining rates of smoking have only been achieved through decades of education and tough government action, and took place against the tobacco industry's efforts to deny the science and block government action; ande) a combination of education, legislation and public procurement is required to tackle a growing public health problem.'Active Travel (Wales) Act 2013'"
"124","NDM6145","NDM6145 - Assembly Debate","Rhun ap Iorwerth",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:1. Recognises the significant contribution made by workers from overseas to the care and treatment of patients within the NHS.2. Calls on the Welsh Government, through negotiation with the UK Government, to secure powers to issue work permits for overseas nationals to work in the Welsh NHS."
"125","NDM6146","NDM6146 - Assembly Debate","Rhun ap Iorwerth",2016-11-09,2016-11-09,"To propose that the National Assembly for Wales:1. Notes that the UK Government is reported to have received £8 billion from the Mineworkers' Pension Scheme (MPS), in accordance with current arrangements which sees it receiving 50 percent of the MPS surplus, and further notes that the UK Government received £750 million in surplus payments in 2014 alone;2. Calls for a review of the fifty-fifty surplus sharing arrangement between the UK Government and MPS, as advocated by the National Union of Mineworkers.3. Calls on the Welsh Government to work with other devolved administrations, and local and regional leaders in England, to secure a UK Government review of the MPS surplus arrangements and to seek a continuation of the UK Government to act as guarantor of the MPS."
"126","NDM6167","NDM6167 - Short Debate","Angela Burns",2016-11-16,2016-11-16,"Dyslexia – Life through a different lens"
"127","NDM6168","NDM6168 - Government Debate","Jane Hutt",2016-11-15,2016-11-15,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.51.  Approves that the draft The Environmental Permitting (England and Wales) Regulations 2016 is made in accordance with the draft laid in the Table Office on 10 October 2016."
"128","NDM6169","NDM6169 - Assembly Debate","Elin Jones",2016-11-16,2016-11-16,"To propose that the National Assembly for Wales, in accordance with Standing Order 33.2:1. Considers the Report of the Business Committee 'Amending Standing Orders: Standing Order 26 – Member Bills' laid in the Table Office on 15 November 2016; and 2. Approves the proposal to revise Standing Order 26, as set out in Annex B of the Report of the Business Committee."
"129","NDM6170","NDM6170 - Assembly Debate","Paul Davies",2016-11-16,2016-11-16,"To propose that the National Assembly for Wales:1. Recognises that the retail industry employs 130,000 people in Wales, and makes a key contribution to the Welsh economy.2. Notes that the current shop vacancy rate in Wales stands at almost 14 per cent, and the projected rate of store closures is higher in Wales than anywhere else in the UK over the next two years.3. Regrets that the Welsh Government has not used innovative and supportive measures to help businesses through their transition to the Valuation Office Agency's revaluations, leaving Welsh businesses to tackle high rates, alongside a system of temporary rebates, and a slow appeals process. 4. Calls on the Welsh Government to:a) abolish business rates for all businesses with a rateable value of up to £12,000, and provide tapered support for those with a rateable value up to £15,000;b) take a proactive approach to radically reform the outdated business rates system, and make Wales the flagship nation in addressing the need to provide a more supportive business environment; andc) place an immediate cap on the multiplier, and a timetabled plan for a gradual reduction in rates."
"130","NDM6171","NDM6171 - Assembly Debate","Rhun ap Iorwerth",2016-11-16,2016-11-16,"To propose that the National Assembly for Wales:1. Regrets the gap between the highest and the lowest paid workers in Welsh local authorities and the wider public sector. 2. Notes Plaid Cymru's success in forcing the Welsh Government to amend the Local Democracy Act during the fourth Assembly to include measures that have improved transparency in how senior officers pay is decided through the establishment of independent remuneration panels. 3. Calls on the Welsh Government to:(a) legislate to introduce nationally set pay scales and terms and conditions to control senior and chief officer pay through a national framework which would ensure fair pay for all public sector workers in Wales; and(b) define the role of local authorities chief executives in legislation which would include abolishing additional payments to council officials for returning officer duties.'Local Government (Democracy) (Wales) Act 2013'"
"131","NDM6172","NDM6172 - Assembly Debate","Rhun ap Iorwerth",2016-11-16,2016-11-16,"To propose that the National Assembly for Wales:1. Notes that the independent cancer task force has called for a target of diagnosis within 28 days.2. Calls on the Welsh Government to ensure that the extra investment in diagnostic equipment secured by Plaid Cymru in the budget negotiations helps achieve this target."
"132","NDM6173","NDM6173 - Government Debate","Carl Sargeant",2016-11-22,2016-11-22,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that provisions in the Children and Social Work Bill, relating to adoption agencies in Wales in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK ParliamentA Legislative Consent Memorandum has been laid in Table Office on 13 October 2016 in accordance with Standing Order 29.2(iii).A copy of the Bill can be found at: 'Bill documents — Children and Social Work Bill [HL] 2016-17 — UK Parliament'"
"133","NDM6174","NDM6174 - Government Debate","Jane Hutt",2016-11-22,2016-11-22,"To propose that the National Assembly for Wales:Notes the Annual Report for 2015-16 by the Older People's Commissioner for Wales.'The Older People's Commissioner for Wales Annual Report 2015-16'"
"134","NDM6175","NDM6175 - Government Debate","Jane Hutt",2016-11-22,2016-11-22,"To propose that the National Assembly for Wales:Notes the Chief Medical Officer for Wales's Annual Report for 2015-16 ""Rebalancing healthcare – working in partnership to reduce social inequity"".'Chief Medical Officer for Wales's Annual Report for 2015-16'"
"135","NDM6176","NDM6176 - Assembly Debate","Rhun ap Iorwerth",2016-11-23,2016-11-23,"To propose that the National Assembly for Wales:1. Notes successful schemes such as small business Saturday for increasing footfall in town centres across Wales.2. Notes that, following the Plaid Cymru budget deal with the Welsh Government, a fund will be established that will enable local authorities to offer free car parking in town centres throughout Wales, providing a vital boost to town centre regeneration.3. Regrets that the current business rates system places a disproportionate burden on small businesses with premises in Wales compared to the rest of the UK.4. Regrets the impact of the recent business rates revaluation on some small businesses in Wales.5. Calls upon the Welsh Government to:a) Expand the transitional relief available to small businesses affected by the 2017 non-domestic rates revaluation:b) explore the designation of the whole of Wales as an enterprise zone in order to provide Wales with kind of competitive advantage needed in order to close the economic gap between Wales and the rest of the UK;c) ensure that the interests of small businesses are given due weight in the work of the new National Infrastructure Commission for Wales and the National Development Bank;d) set a target to increase the current levels of procurement from 55 per cent to at least 75 per cent of Welsh public sector spending within Wales; ande) introduce a 'buy local' campaign aimed at Welsh consumers and major purchasers."
"136","NDM6177","NDM6177 - Assembly Debate","Paul Davies",2016-11-23,2016-11-23,"To propose that the National Assembly for Wales:1. Believes that promoting the innovative use of cross-border healthcare can offer improved patient outcomes for people in Wales and England.2. Notes the findings of the Silk Commission, which made recommendations to improve cross-border health delivery, particularly to promote closer working in relation to specialist services.3. Calls on the Welsh Government to reflect on the findings of the Welsh Affairs Select Committee report on cross-border health arrangements between England and Wales, which reflects concerns about the difficulties and delays in accessing secondary and specialist services on a cross-border basis.'Commission on Devolution in Wales – Empowerment and Responsibility: Legislative Powers to Strengthen Wales'‘Welsh Affairs Select Committee – Third Report - Cross-border health arrangements between England and Wales’"
"137","NDM6178","NDM6178 - Short Debate","Nick Ramsay",2016-11-23,2016-11-23,"Short Debate"
"138","NDM6179","NDM6179 - Government Debate","Jane Hutt",2016-11-29,2016-11-29,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.12:Notes the Draft Budget for the financial year 2017-2018 laid in the Table Office by the Cabinet Secretary for Finance and Local Government on 18 October 2016. 'The Draft Budget Proposals 2017-18'"
"139","NDM6180","NDM6180 - Government Debate","Jane Hutt",2016-11-29,2016-11-29,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5Approves that the draft The Education Workforce Council (Registration of Youth Workers, Youth Support Workers and Work Based Learning Practitioners) Order 2016 is made in accordance with the draft laid in the Table Office on 15 November 2016."
"140","NDM6181","NDM6181 - Assembly Debate","Neil Hamilton",2016-11-30,2016-11-30,"To propose that the National Assembly for Wales: 1. Notes proposals from the UK Government to abolish fees charged by letting agents to tenants in England.2. Regrets that, on average, tenants are charged £233 in letting fees.3. Calls on the Welsh Government to:(a) take action to consider the impact of the abolition of these fees which has already taken place in Scotland;(b) bring forward legislation in this Assembly to ban renters fees, ensuring that costs cannot be passed on to:(i) tenants, by way of artificially higher rents; and(ii) private landlords, noting that they form a valuable part of helping renters on to the property ladder."
"141","NDM6182","NDM6182 - Assembly Debate","Paul Davies",2016-11-30,2016-11-30,"To propose that the National Assembly for Wales:1. Notes the UK Government's Autumn Statement;2. Acknowledges the announcement that the Welsh Government will benefit from an additional £436 million by 2020-21 to its capital budgets from the Autumn Statement;3. Notes that the UK Government will raise the National Living Wage to £7.50 to support jobs and earnings across the UK;4. Further notes that the Personal Allowance and Higher Rate threshold will increase to £12,000 and £50,000 respectively by 2020-21, which will reduce the income tax bill for 1.4 million individuals in Wales in 2017-18.'Autumn Statement 2016'"
"142","NDM6183","NDM6183 - Government Debate","Mark Drakeford",2016-12-06,2016-12-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that provisions in the Criminal Finances Bill, relating to the creation of a new tax evasion offence, in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament.A Legislative Consent Memorandum has been laid in Table Office on 1 November 2016 in accordance with Standing Order 29.2(i). A copy of the Bill can be found at: 'Criminal Finances Bill 2016-17 — UK Parliament'"
"144","NDM6184","NDM6184 - Government Debate","Rebecca Evans",2016-12-06,2016-12-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that provisions in the Children and Social Work Bill, relating to the prohibition of a relevant employer from discriminating against a person who applies for a children's social care position because it appears to the employer that the applicant has made a protected disclosure, in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament.A Supplementary Legislative Consent Memorandum has been laid in Table Office on 10 November 2016 in accordance with Standing Order 29.2(iii). A copy of the Bill can be found at: 'Bill documents — Children and Social Work Bill [HL] 2016-17 — UK Parliament'"
"145","NDM6185","NDM6185 - Government Debate","Jane Hutt",2016-12-06,2016-12-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5Approves that the draft The Social Care Wales (Specification of Social Care Workers) (Registration) Regulations 2016 is made in accordance with the draft laid in the Table Office on 22 November 2016."
"146","NDM6186","NDM6186 - Government Debate","Jane Hutt",2016-12-06,2016-12-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5Approves that the draft The Social Care Wales (Extension of Meaning of ""Social Care Worker"") Regulations 2016 is made in accordance with the draft laid in the Table Office on 22 November 2016."
"147","NDM6187","NDM6187 - Government Debate","Jane Hutt",2016-12-06,2016-12-06,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5Approves that the draft The Non-Domestic Rating (Chargeable Amounts) (Wales) Regulations 2016 is made in accordance with the draft laid in the Table Office on 22 November 2016."
"148","NDM6188","NDM6188 - Assembly Debate","Paul Davies",2016-12-07,2016-12-07,"To propose that the National Assembly for Wales:1. Notes Wales' performance in the Organisation for Economic Co-operation and Development's 2015 Programme for International Student Assessment, which were published on the 6th December 2016.2. Regrets that scores in reading, maths and science were lower in 2015 than in 2006.3. Calls upon the Welsh Government to develop a clear strategy with measurable targets and a clear timetable to ensure improvement in PISA 2018.'Programme for International Student Assessment results - UK'"
"149","NDM6189","NDM6189 - Short Debate","Bethan Sayed",2016-12-07,2016-12-07,"Why we need an animal abuse register for Wales"
"150","NDM6190","NDM6190 - Assembly Debate","Rhun ap Iorwerth",2016-12-07,2016-12-07,"To propose that the National Assembly for Wales:Calls on the Welsh Government to work with local authorities to ensure that no households with children face eviction in Wales."
"151","NDM6191","NDM6191 - Member Debates","Julie Morgan",2016-12-08,2016-12-08,"To propose that the National Assembly for Wales:1. Calls on the UK Government to hold a full public inquiry into the contaminated blood tragedy of the 1970s and 1980s.2. Notes that 70 people in Wales have died from HIV and Hepatitis C acquired when they received contaminated blood or blood products and others are still living with these diseases.3. Acknowledges that bereaved relatives are living with the consequences of this tragedy.4. Notes that, in March 2015, the UK Government apologised to people infected by contaminated blood treatment and further notes that the affected families have never received full answers about how this was allowed to happen and are still campaigning for justice."
"152","NDM6192","NDM6192 - Government Debate","Jane Hutt",2016-12-20,2016-12-20,"To propose that the National Assembly for Wales, in accordance with Standing Order 20.25, approves the Annual Budget for the financial year 2017-18 laid in the Table Office by the Cabinet Secretary for Finance and Local Government on 20 December 2016.Footnote:In accordance with the relevant provisions contained in the Government of Wales Act 2006 and Standing Order 20.28, the Annual Budget comprises the following information:1. the written statement required under section 125(3) of the Government of Wales Act 20062. the resources agreed by the Treasury for the Welsh block budget for the financial year covered by the motion;3. a reconciliation between the resources allocated to the Welsh block budget by the Treasury and the resources to be authorised for use in the motion;4. a reconciliation between the estimated amounts to be paid into the Welsh Consolidated Fund by the Secretary of State and the amounts to be authorised for payment out of the Fund in the motion; and5. a reconciliation between the resources to be authorised under section 125(1)(a) and (b) of the Act and the amounts to be authorised for payment out of the Welsh Consolidated Fund under section 125(1)(c). The following additional information has been made available to Members:• an Explanatory Note on changes between Draft Budget proposals and the Annual Budget."
"153","NDM6193","NDM6193 - Government Debate","Mark Drakeford",2017-01-03,2017-01-03,"To propose that the National Assembly for Wales, in accordance with Standing Order 26.11:Agrees to the general principles of the Land Transaction Tax and Anti-avoidance of Devolved Taxes (Wales) Bill.The Land Transaction Tax and Anti-avoidance of Devolved Taxes (Wales) Bill and Explanatory Memorandum were laid before the Assembly on 12 September 2016.the report of the Finance Committee on the Land Transaction Tax and Anti-avoidance of Devolved Taxes (Wales) Bill was laid before the Assembly on 20 December 2016."
"154","NDM6194","NDM6194 - Government Debate","Jane Hutt",2017-01-03,2017-01-03,"To propose that the National Assembly for Wales: for the purposes of any provisions resulting from the Land Transaction Tax and Anti-avoidance of Devolved Taxes (Wales) Bill, agrees to any increase in expenditure of a kind referred to in Standing Order 26.69, arising in consequence of the Bill."
"155","NDM6195","NDM6195 - Assembly Debate","Paul Davies",2017-01-04,2017-01-04,"To propose that the National Assembly for Wales:1. Notes the Cabinet Secretary for Health, Wellbeing and Sport's statement in November 2016 on winter preparedness.2. Further notes the Royal College of Physicians' response to the inquiry into winter preparedness 2016/17, which stated that: ""The challenges facing health boards as they prepare for winter are complex. They reflect wider pressures on the NHS and social care"", and that; ""Health boards are operating in an under-funded, under-doctored and overstretched context"".3. Calls on the Welsh Government to provide a status report on how its 2016/17 planning, alongside those of Welsh Health Boards, is performing against the current situation across the Welsh NHS. 'Statement: Winter Preparedness' 'Inquiry into winter preparedness 2016/17: RCP Wales response'"
"156","NDM6196","NDM6196 - Assembly Debate","Paul Davies",2017-01-04,2017-01-04,"To propose that the National Assembly for Wales:1. Notes that, in light of National Obesity Awareness Week, obesity levels in Wales are increasing.2. Expresses concern that as many as 59 per cent of adults were classified as overweight or obese, as stated in the recent Welsh Health Survey, and 27.3 per cent of children in Wales are obese or overweight, as recorded in the Child Measurement Programme for Wales: Current Annual Report.3. Calls on the Welsh Government to address the lack of coherence between its public health initiatives, and cuts to local government funding, which prevent the effective uptake of these programmes.  'Welsh Health Survey' 'The Child Measurement Programme for Wales: Current Annual Report'"
"157","NDM6197","NDM6197 - Assembly Debate","Neil Hamilton",2017-01-04,2017-01-04,"To propose that the National Assembly for Wales:1. Welcomes the First Minister's fact-finding trip to Norway to see for himself the regulatory burdens and costs imposed on Norway by full membership of the EU's Single Market.2. Notes that these burdens and costs fall on all Norway's businesses, whether they export to the EU or not.3. Believes that:a) it is in Wales's best interests for laws and regulations to be made by Britain's democratically-elected representatives in Westminster and Cardiff, not remote and unaccountable officials in Brussels; andb) Single Market membership would preclude effective control of immigration of EU citizens into the UK, thus undermining the referendum result and frustrating the wishes of a majority of Wales's voters.4. Notes that the EU currently exports £8 billion more in goods to the UK every month than the UK exports to the EU.5. Supports the UK Government's general negotiating position of seeking the maximum degree of free trade with the EU consistent with firm immigration control."
"158","NDM6198","NDM6198 - Assembly Debate","Rhun ap Iorwerth",2017-01-04,2017-01-04,"To propose that the National Assembly for Wales:1. Recognises the important contribution of the Welsh higher education sector in providing important opportunities to the people of Wales, and delivering significant economic benefits to communities across the nation.2. Believes that a successful and vibrant higher education sector is essential for a prosperous Wales.3. Believes that the Welsh Government should do all that is necessary to safeguard the future sustainability of the Welsh higher education sector.4. Calls on the Welsh Government to work with the UK Government to:a) protect or replace existing EU funding and programmes for research and higher education;b) secure the continued participation of Welsh universities in the Erasmus Plus scheme of staff and student exchange, and to support further international collaborations and movement of students, researchers, and staff;c) secure the visa and citizenship status of EU nationals working in Welsh universities;d) enable Welsh universities to participate in a post-study work visa scheme; ande) remove international students from UK net migration targets."
"159","NDM6199","NDM6199 - Short Debate","Joyce Watson",2017-01-04,2017-01-04,"Hidden in plain sight: loneliness in Welsh communities, and how to tackle it"
"160","NDM6200","NDM6200 - Government Debate","Jane Hutt",2016-01-10,2016-01-10,"To propose that the National Assembly for Wales, in accordance with Standing Order 27.5Approves that the draft The Council Tax Reduction Schemes (Prescribed Requirements and Default Scheme) (Wales) (Amendment) Regulations 2017 is made in accordance with the draft laid in the Table Office on 5 December 2016."
"161","NDM6201","NDM6201 - Government Debate","Vaughan Gething",2016-01-10,2016-01-10,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6 agrees that provisions in the Health Service Medical Supplies (Costs) Bill relating to obtaining and sharing information on health service products in so far as they fall within the legislative competence of the National Assembly for Wales, should be considered by the UK Parliament.A Legislative Consent Memorandum has been laid in Table Office on 16 November 2016 in accordance with Standing Order 29.2(iii). A copy of the Bill can be found at: Bill documents — Health Service Medical Supplies (Costs) Bill 2016-17 — UK Parliament"
"162","NDM6202","NDM6202 - Government Debate","Jane Hutt",2016-01-10,2016-01-10,"To propose that the National Assembly for Wales, in accordance with Section 84H of the Local Government Finance Act 1988, approves the Local Government Finance Report (No. 1) 2017-2018 (Final Settlement - Councils), which was laid in the Table Office on 21 December 2016."
"163","NDM6203","NDM6203 - Government Debate","Carwyn Jones",2016-01-10,2016-01-10,"To propose that the National Assembly for Wales, in accordance with Standing Order 29.6, agrees that provisions in the Wales Bill, in so far as they fall within or modify the legislative competence of the National Assembly for Wales, should continue to be considered by the UK Parliament.A Legislative Consent Memorandum has been laid in Table Office on 21 November 2016 and a Supplementary Legislative Consent Memorandum has been laid in Table Office on 10 January 2017 in accordance with Standing Order 29.2.A copy of the Bill can be found at: Bill documents — Wales Bill 2016-17 — UK Parliament"
"164","NDM6204","NDM6204 - Member Debates","Hannah Blythyn",2017-01-11,2017-01-11,"To propose that the National Assembly for Wales:1. Notes that February is LGBT History Month, an annual opportunity to promote diversity and equality across Wales.2. Further notes the contribution that LGBT plus people have made to our communities and country.3. Recognises the role played by Welsh LGBT icons and allies in Wales as illustrated in this month's LGBT icons and allies exhibition in the Senedd. 4. Welcomes the progress made in the past few decades on LGBT rights and acceptance.5. Believes that vigilance is needed to ensure that LGBT plus rights are protected. 6. Takes the lead in continuing to progress equality and challenging discrimination and division, ensuring Wales is a welcoming nation for LGBT plus people."
"165","NDM6205","NDM6205 - Assembly Debate","Paul Davies",2017-01-11,2017-01-11,"To propose that the National Assembly for Wales:1. Notes concern at the three-and four-weekly bin collections proposed by some local authorities across Wales.2. Calls on the Welsh Government to ensure councils collect residual waste no less frequently than fortnightly, to protect public health, and deter fly-tipping."
"166","NDM6206","NDM6206 - Short Debate","Julie Morgan",2017-01-11,2017-01-11,"Short Debate"
"167","NDM6207","NDM6207 - Assembly Debate","Paul Davies",2017-01-11,2017-01-11,"To propose that the National Assembly for Wales:Calls on the Welsh Government to provide more support for small businesses affected by the 2017 non-domestic rates revaluation, including more information regarding the £10m additional funding announced in December 2016."
"168","NDM6208","NDM6208 - Assembly Debate","Rhun ap Iorwerth",2017-01-11,2017-01-11,"To propose that the National Assembly for Wales:1. Calls on the First Minister – in the absence of any intervention by the UK Government – to meet with the interim Chair of Tata Steel to improve the terms of the deal offered by the company's UK division for steelworkers in Wales; and that such an amended proposal should consist of binding, written commitments on employment, investment and the protection of accrued pension rights.2. Calls on the Welsh Government to work with the UK Government, Unions and interested parties to prepare an alternative strategy in the event of the current proposal being rejected by the Welsh steel workforce."
"169","NDM6209","NDM6209 - Assembly Debate","Rhun ap Iorwerth",2017-01-11,2017-01-11,"To propose that the National Assembly for Wales:Believes that:a) the National Grid should use underground or undersea cables or alternatives to carry electricity through National Parks and Areas of Outstanding Natural Beauty in Wales where feasible;b) there should be a presumption in favour of underground cables or alternatives rather than electricity pylons in any new or current developments in Wales by the National Grid; andc) a feasibility study should be carried out of the possibility of removing current pylons and replacing them with underground cables or other alternatives."
"170","NDM6210","NDM6210 - Member Debates","Jeremy Miles",2017-01-12,2017-01-12,"To propose that the National Assembly for Wales: 1. Notes that approximately 40 per cent of the workforce is employed in the 'Foundational Economy' supplying essential goods and services such as: infrastructures; utilities; food processing, retailing and distribution; and health, education and care.2. Recognises that these sectors are often more resilient to external economic shocks and have considerable potential to generate greater local value from the provision of localised goods and services.3. Regrets that many of the sectors within the Foundation Economy are marked by low paid and insecure jobs4. Calls on the Welsh Government to develop a strategy to maximise the impact of the 'Foundational Economy' across Wales as part of its work on developing a new economic strategy, including measures to improve employment conditions in those sectors."
"171","NDM6211","NDM6211 - Government Debate","Jane Hutt",2017-01-17,2017-01-17,"To propose that the National Assembly for Wales: 1. Acknowledges the combined effect of local environment quality issues on the well-being of communities.2. Supports: a) an increased focus on preventative activities with stronger cross-sectoral collaboration; and b) the close involvement of citizens in finding and delivering solutions to improve the places where they live."
