"","question_no","name","tabled_dt","response_name","response_dt","question","answer","welsh","withdrawn","number"
"736","WAQ70965","Paul Davies",2016-09-15,"Cabinet Secretary for Environment and Rural Affairs",2016-09-27,"Will the Minister provide a statement on the new Courtauld Commitment 2025 which aims to make food and drink production and consumption more viable for the future?","The Welsh Government is committed to Courtald 2025, which is an ambitious voluntary agreement that brings together organisations across the food system, from producer to consumer, to cut the amount of resource needed to provide food and drink by one-fifth in ten years. To achieve this outcome, we are working together with 131 other signatories which represent 95% of the 2016 UK food retail market to deliver changes which stakeholders cannot realise individually. Courtald 2025 requires action across four key areas:• Providing lower impact products;• Providing products more efficiently;• Obtaining greater value from waste and surplus food and drink; and• Helping people to get greater value from the food and drink they buy.  The Welsh Government will continue to work with WRAP and the signatories to further identify, develop and communicate best practice and implement changes across these areas. I will continue to encourage food and drink businesses to become signatories to Courtauld 2025. I am pleased that C2025 is tackling the whole food chain to reduce food waste including consumer behaviour given that significant food waste occurs in the home.",FALSE,FALSE,736
"737","WAQ70966","Paul Davies",2016-09-15,"Cabinet Secretary for Environment and Rural Affairs",2016-09-21,"Will the Minister provide an update on the Glastir Woodland Creation scheme?","The first Glastir Woodland Creation expression of Interest window opened in June 2015 and resulted in 42 contracts being signed with 107 hectares of new woodland planted. The second window opened in April 2016 and resulted in 155 expressions of interest. 104 Woodland Plans have been submitted in support of the expression of interest applications and it is anticipated up to 504 hectares of new woodland could be planted during the 2016/2017 planting season. The third expression of interest window is currently open until 14 October 2016 for land managers who wish to plant during the 2017/2018 planting season. A fourth expression of interest window is scheduled to open in March 2017.",FALSE,FALSE,737
"738","WAQ70967","Janet Finch-Saunders",2016-09-15,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"What consideration has the Minister made for the provision of superfast broadband to the proposed 4 per cent of properties not covered by the Superfast Cymru rollout?","I will write to you and a copy of the letter will be put on the internet",FALSE,FALSE,738
"739","WAQ70968","Dai Lloyd",2016-09-15,"Cabinet Secretary for Environment and Rural Affairs",2016-09-22,"Will the Minister provide details with regards to the timing of the next tranche of European Maritime and Fisheries Fund funding, and the qualifying criteria?","European Maritime and Fisheries Fund (EMFF) Article 32, Health and Safety equipment on board fishing vessels, opened for applications on 16 September. Detailed guidance is available on the Welsh Government website. I recognise fishing remains one of the most hazardous occupations in the UK and we have seen a number of tragic fatalities recently in Wales. This is why we have prioritised Article 32 and my officials will now prioritise working with the Sea Fish Industry Authority to develop targeted initiatives to improve health and safety throughout the fishing industry under EMFF Article 29. Remaining Articles will be placed into thematic groupings which will be prioritised in line with our strategic aims. The first group to open will be 'Support for Aquaculture', which is anticipated to open in the coming months. Further groups will be prioritised as follows:Support for innovation in fisheries, scientists and fishermen partnerships and advisory services. Support for Marketing and Processing of fisheries and aquaculture products. Support for Improvements to Shore-Based Facilities. Support for Investments on Board Fishing Vessels, including fishing vessel energy improvements. Support for the Marine environment and Inland Fishing. Specific qualifying criteria will be available within each set of Guidance Notes, which will be published on the Welsh Government website.",FALSE,FALSE,739
"740","WAQ70969","Dai Lloyd",2016-09-15,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"Will the Minister provide an update on whether the Superfast Cymru project is on target to reach 96 per cent of Welsh homes and businesses by June 2017?","I will write to you and a copy of the letter will be put on the internet",FALSE,FALSE,740
"741","WAQ70970","Paul Davies",2016-09-16,NA,NA,"Further to WAQ70912, will the Minister provide an update on the work of Resource Efficient Wales in eradicating food waste at all stages of the supply chain?","To be answered by: Cabinet Secretary for Environment and Rural Affairs",FALSE,FALSE,741
"742","WAQ70971","Adam Price",2016-09-16,"First Minister",2016-09-26,"What is the position of the Welsh Government on the free movement of people within the context of Brexit?","EU citizens living in Wales now should be able to remain here after the UK’s exit from the EU and the rights of Welsh citizens living abroad should be protected. Any controls which are proposed as part of the UK exit from the EU should not harm or undermine the Welsh economy.",FALSE,FALSE,742
"743","WAQ70972","Adam Price",2016-09-16,"First Minister",2016-09-26,"What is the policy of the Welsh Government on membership of the single market?","Our position is that Wales must continue to have full and unfettered access for goods and services to the EU's Single Market.",FALSE,FALSE,743
"744","WAQ70973","Russell George",2016-09-19,"Cabinet Secretary for Economy and Infrastructure",2016-09-21,"What is the Welsh Government's policy for ensuring rapid charge points for electric vehicles every 50 – 60 miles on the trunk road network across Wales, North to South, East to West?","Many charge points have been installed, or are planned, in a number of locations across Wales. This growing number of charge points can be viewed on one of the websites that encourage the use of electric vehicles, such as Next Green Car’s Zap Map (www.zap-map.com) and mobile phone applications such as PlugShare. These resources show accessible charge points across Wales.Our Low Carbon Vehicle Industry Steering Group has considered the measures Wales should be taking to promote the uptake of electric vehicles. We are considering their recommendations, including those to consider support in certain rural areas where the market is slower to intervene, in order to promote the use of low carbon vehicles throughout the country.We have no immediate plans to use public funds for electric vehicle infrastructure. The UK Office for Low Emission Vehicles already offer 'plug in' car and van grants, an electric vehicle homecharge scheme and are considering further options for funding charging infrastructure.",FALSE,FALSE,744
"745","WAQ70974","Russell George",2016-09-19,"Cabinet Secretary for Economy and Infrastructure",2016-09-21,"What is the Welsh Government doing to increase the number of charging points for electric vehicles throughout Wales?","Many charge points have been installed, or are planned, in a number of locations across Wales. This growing number of charge points can be viewed on one of the websites that encourage the use of electric vehicles, such as Next Green Car’s Zap Map (www. zap-map. com) and mobile phone applications such as PlugShare. These resources show accessible charge points across Wales. Our Low Carbon Vehicle Industry Steering Group has considered the measures Wales should be taking to promote the uptake of electric vehicles. We are considering their recommendations, including those to consider support in certain rural areas where the market is slower to intervene, in order to promote the use of low carbon vehicles throughout the country. We have no immediate plans to use public funds for electric vehicle infrastructure. The UK Office for Low Emission Vehicles already offer 'plug in' car and van grants, an electric vehicle homecharge scheme and are considering further options for funding charging infrastructure.",FALSE,FALSE,745
"746","WAQ70975","Steffan Lewis",2016-09-20,"First Minister",2016-09-30,"What representation has the First Minister made to the UK Government on the UK's withdrawal from the EU?","Following the EU referendum I met the new Prime Minister, and also wrote to her, outlining key priorities for negotiations on the UK’s withdrawal from the EU. I also had an early telephone conversation with David Davis MP, the Secretary of State for Exiting the European Union. In addition a number of my Ministerial colleagues have spoken or corresponded with counterparts in the UK Government, including a discussion between the Cabinet Secretary for Finance and Local Government and the Chancellor of the Exchequer. There have also been extensive discussions between Welsh Government officials and counterparts in the UK Government and devolved governments. In July I convened an extraordinary meeting of the British-Irish Council, in Cardiff, to allow specific discussions on the implications of the outcome of the EU referendum between the devolved governments, the UK and Irish Governments and the islands’ governments. In addition to supporting collective discussion, the meeting enabled me to make direct representations to James Brokenshire MP, Secretary of State for Northern Ireland, and David Jones MP, Minister of State at the Department for Exiting the European Union. Arrangements are being made for formal joint discussions between Ministers of the devolved governments and the UK Government, and I will say more on these as they are finalised.",FALSE,FALSE,746
"747","WAQ70976","Darren Millar",2016-09-20,"Cabinet Secretary for Economy and Infrastructure",2016-09-26,"What action is the Welsh Government taking to support the development of a rapid charging network for electric vehicles in Wales?","The UK Office for Low Emission Vehicles offer 'plug in' car and van grants, an electric vehicle homecharge scheme and are considering further options for funding charging infrastructure. Many charge points have been installed, or are planned, in a number of locations across Wales. This growing number of charge points can be viewed on one of the websites that encourage the use of electric vehicles, such as Next Green Car’s Zap Map (www. zap-map. com) and mobile phone applications such as PlugShare. These resources show accessible charge points across Wales. Our Low Carbon Vehicle Industry Steering Group has considered the measures Wales should be taking to promote the uptake of electric vehicles. We are considering their recommendations, including those to consider support in certain rural areas where the market is slower to intervene, in order to promote the use of low carbon vehicles throughout the country.",FALSE,FALSE,747
"748","WAQ70977","Darren Millar",2016-09-20,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"Will the Minister make a statement on how the Welsh Government intends to use the Barnett consequential resulting from the introduction of the apprenticeship levy in the UK?","Funding provided to Wales is not ring-fenced for specific purposes and is allocated through Welsh Government budgets in line with the Welsh Government’s strategic priorities.",FALSE,FALSE,748
"749","WAQ70978","Mark Isherwood",2016-09-21,"Cabinet Secretary for Communities and Children",2016-09-26,"What assessment has the Minister made of the Bevan Foundation Report in July 2016, which highlighted that the amount of pensioners living in poverty increased to 17 per cent, up three per cent since 2011/12-2012/13?","The Institute for Fiscal Studies (IFS) has estimated that absolute and relative pensioner poverty in the UK (defined as those aged 65 or over and before housing costs) will fall over the period 2013–14 to 2020–21. The main reasons for this anticipated fall are due to increasing labour market participation among older people, linked to increases in the state pension age, and growth in private and state pension income.",FALSE,FALSE,749
"750","WAQ70979","Mark Isherwood",2016-09-21,"Cabinet Secretary for Communities and Children",2016-09-26,"What steps has the Minister taken in light of the Bevan Foundation's Report in July 2016, which stated that ""the proportion of adults living below the poverty threshold has been at around 22 per cent since 1997/98-1999/00""?","We are continuing to feel the impacts of UK Government welfare reforms, which are affecting many vulnerable families. In spite of this backdrop, we remain committed to using all available levers to reduce inequalities, improve prosperity and increase people’s participation in labour market. Tackling poverty continues to be a priority for this new Welsh Government. While I have responsibility for the coordination of cross-cutting measures to promote economic opportunity for all, tackling poverty is the shared responsibility of every Cabinet Secretary and Minister. As a Government, our focus continues to be on improving outcomes in the early years and increasing employability. These priorities reflect where the evidence tells us we can have most impact. Building a strong economy and providing access to sustainable employment will be fundamental to delivering on both of these agendas.",FALSE,FALSE,750
"751","WAQ70980","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Environment and Rural Affairs",2016-09-27,"Will the Minister confirm how many dog breeders were licensed in Wales in 2014 and 2015?","No data is held by the Welsh Government with regard to the number of dog breeding licences issued, held or revoked in 2014-15. Local Authorities own this information. The Kennel Club own and hold the data on how many Assured Breeders are based in Wales which is accessible on their website.",FALSE,FALSE,751
"752","WAQ70981","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Environment and Rural Affairs",2016-09-27,"Will the Minister confirm how many Kennel Club assured dog breeders are based in Wales?","No data is held by the Welsh Government with regard to the number of dog breeding licences issued, held or revoked in 2014-15. Local Authorities own this information. The Kennel Club own and hold the data on how many Assured Breeders are based in Wales which is accessible on their website.",FALSE,FALSE,752
"753","WAQ70982","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Environment and Rural Affairs",2016-09-27,"Will the Minister confirm how any dog breeder licences were revoked in 2014 and 2015?","No data is held by the Welsh Government with regard to the number of dog breeding licences issued, held or revoked in 2014-15. Local Authorities own this information. The Kennel Club own and hold the data on how many Assured Breeders are based in Wales which is accessible on their website.",FALSE,FALSE,753
"754","WAQ70983","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Environment and Rural Affairs",2016-09-27,"Will the Minister confirm what the Welsh Government has done to ensure the public are educated about buying puppies from responsible breeders?","No data is held by the Welsh Government with regard to the number of dog breeding licences issued, held or revoked in 2014-15. Local Authorities own this information. The Kennel Club own and hold the data on how many Assured Breeders are based in Wales which is accessible on their website. With regard to the work undertaken to educate the public about buying from responsible breeders, my officials have previously worked with the Pet Advertising Advisory Group (PAAG) on this matter. The Welsh Government also commissioned the RSPCA-led review into Responsible Dog Ownership in Wales. Continuing the theme of responsible ownership, the Animal Health and Welfare Framework Group has published its Implementation Plan for 2016/17 which includes the Responsible Ownership of all animals.",FALSE,FALSE,754
"755","WAQ70984","Neil McEvoy",2016-09-21,"Cabinet Secretary for Environment and Rural Affairs",2016-09-30,"Will the Minister confirm whether the Welsh Government plans to continue its current level of funding for the Brecon Beacons visitor centre and that the current employees are not faced with redundancy?","The funding and staffing of the Brecon Beacons Visitor Centre are the responsibility of the Brecon Beacons National Park Authority.",FALSE,FALSE,755
"756","WAQ70986","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-30,"Will the Minister advise as to how many times the A55 Trunk Road has been closed in 2016, to include for each instance: where the closure took place, whether the closure affected one or both directions, what the reason for the closure was, and for what length of time the closure took place?","Between 1 January and 23 September there were 19 occasions (2 days and 17 nights, not continuous) when sections of the A55 (J1, Holyhead to J36a, Broughton) were required to be fully closed for a period of time. For the remaining closures a batching or contraflow system was in place to allow the movement of traffic. The attached annex provides a breakdown of the information.",FALSE,FALSE,756
"757","WAQ70987","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"Will the Minister provide an update on the findings of the WLGA's investigation into equal pay claims held against Local Authorities in Wales; to include how he intends to take forward any recommendations provided?","The Welsh Local Government Association (WLGA) was asked to engage with all local authorities on this matter to understand the underlying issues relating to any outstanding pay claims. WLGA advises that its officers have done so and confirmed that there are around 600 outstanding claims within a workforce of nearly 130,000 employees. This is a complex area and there are a number of reasons why some claims have taken some time to resolve, such as claims which are attached to people who have left employment in local government, claims with multiple claimants and difficulties in designating appropriate comparators. The appeals process also has slowed down payments in some areas. Moreover the decision on a 2012 Birmingham City Council case increased the period within which claims could be lodged to 6 years increasing the number of claims which could be lodged. As WLGA acknowledges, the issue of outstanding pay claims causes anxiety and concern for those involved but each Local Authority is responsible for its own employment matters; to date, the Welsh Government has been able to accommodate all Authorities’ requests for Capitalisation Directions to enable them to deal with equal pay claims.",FALSE,FALSE,757
"758","WAQ70988","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"Will the Minister disclose the full costs associated with developing the Maps, published on 17th June 2015, outlining the previous Minister's proposals for 8 or 9 local authorities in Wales?","I refer you to the answer provided by officials on 23 June to the Welsh Conservative Group Researcher in respect of the Request for Recorded Information (Ref : ATISN 10491). Development of the Maps published on 17June 2015 falls within administration costs. Link :",FALSE,FALSE,758
"759","WAQ70989","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"Will the Minister provide a comprehensive update on the implementation by local authorities of the recommendations of the KPMG Welsh Local Authorities Administrative Cost Review, and how the Welsh Government is monitoring progress towards the £151m of savings identified?","The Welsh Government is not responsible for the administrative costs of Local Authorities. Each Authority received its own benchmarking report based on the data collected through the KPMG Administrative Cost Review exercise. It is for each authority to use this information to improve the efficiency and effectiveness of its administrative activities allowing it to focus more resources on the delivery of frontline services. I am pleased that Local Authorities have recognised the value of this information and are undertaking further benchmarking activities to inform the delivery of future efficiencies including joint working. The recommendations of the KPMG Review and the delivery of the savings were factored into the previous Welsh Government’s programme for reforming local government. I will make a statement on 4 October on this Government’s proposals for local authority reform.",FALSE,FALSE,759
"760","WAQ70990","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"Will the Minister advise as to what consideration he has made for the compulsory training of Town and Community Council Clerks and Chairs?","These matters were subject to consultation through the Draft Local Government (Wales) Bill, between 24 November 2015 and 15 February 2016. Overall, respondents agreed it would be beneficial for both councillors and employees properly to consider and plan for the training needs of their own members and employees. The majority of responses supported the proposals for community councils to determine their own training needs. Ways in which community councils can be enabled to be effective and maximise their potential will form a key part of the reform of local government. I will take the stakeholder views expressed to date on this matter into consideration as I determine how to proceed.",FALSE,FALSE,760
"761","WAQ70991","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"Will the Minister disclose the full costs associated with the development of the Draft Local Government (Wales) Bill?","I refer you to the answer provided by officials on 23 June to the Welsh Conservative Group Researcher in respect of the Request for Recorded Information (Ref : ATISN 10491). Development of the Maps published on 17June 2015 falls within administration costs. Link : http://gov.wales/docs/decisions/2016/localgov/160624atisn10491lttr.pdf",FALSE,FALSE,761
"762","WAQ70992","Russell George",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"Will the Minister set out the outcomes of his meeting with Midlands Connect in July?","I have not yet been able to meet with Sir John Peace, the Chairman of Midlands Connect but a meeting is currently being arranged.",FALSE,FALSE,762
"763","WAQ70993","Russell George",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-26,"Will the Minister outline the criteria required for successful applications to the growth and prosperity fund?","The Growth and Prosperity Fund is open to applications from SME businesses. The main focus of the initiative will be the creation of new jobs. It will be a competitive scheme and each project will be assessed against value for money criteria and will focus on the number and quality of the jobs created/ as a result of the project.",FALSE,FALSE,763
"764","WAQ70994","Russell George",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-26,"Will the Minister outline the targets that are set for small and medium enterprises to meet once they receive funding from the growth and prosperity fund?","Targets are set according to the project outlines. The applicant will receive a detailed Award of Funding letter which sets out capital spend and jobs to be created and/or safeguarded before payments are made. If the business fails to achieve these targets, payments may be withheld or based on a pro-rata basis based on the outputs achieved.",FALSE,FALSE,764
"765","WAQ70995","Russell George",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-26,"What mechanisms does the Minister have in place to ensure that the 'non-repayable' grant funds supplied by the growth and prosperity fund are independently overseen?","For the smaller Fund, cases will be presented to an independent Regional Assessment Panel. For the larger Fund, cases will be presented to internal ""Investment Recommendation Panel"" made up of senior representatives of the Sectors and Business team within my Department. The Panel makes a recommendation on the cases presented to them and I make the final decision whether to fund based on the evidence presented.",FALSE,FALSE,765
"766","WAQ70996","Russell George",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-26,"What considerations has the Minister made of the benefits to the Welsh economy should small and medium enterprises enter into the £5 million growth and prosperity fund?","This fund is based on the First Minister's Business Confidence Plan to assist our economy to grow following the instability following the outcome of the EU Referendum, plus to continue to market Wales as an attractive place to do business. Specifically, the £5 million is expected to create and safeguard up to 1200 jobs.",FALSE,FALSE,766
"767","WAQ70997","Russell George",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-28,"What considerations has the Minister made to introducing schemes which 'better targets support' for small businesses, as outlined in the statement on future arrangements for small business rates relief?","I will work with local authorities, business organisations and other key stakeholders to develop a small business rates relief scheme that better meets the needs of Wales. The permanent scheme will be in place from 1 April 2018.",FALSE,FALSE,767
"768","WAQ70998","Russell George",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-28,"Will the Minister provide a breakdown of avoidance of business rates and percentages of collection by local authority for the years 2013-14, 2014-15 and 2015-16?","Information on the levels of non-domestic rates avoidance is not collected centrally.",FALSE,FALSE,768
"769","WAQ70999","Russell George",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-28,"Will the Minister provide a breakdown of how much funding he has set aside for rates relief in 2017-18?","The plans for non-domestic rates and rates reliefs for 2017-18 form part of our budget considerations. The Draft Budget will be published on 18 October.",FALSE,FALSE,769
"770","WAQ71000","Russell George",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-28,"Will the Minister outline what guarantees he has made to small businesses in light of the Welsh Labour manifesto pledge to 'offer a tax cut to all small businesses in Wales'?","Our Small Business Rates Relief scheme is already providing an estimated £98 million of relief to small businesses in Wales this year. I recently announced that the tax cut represented by the scheme is being extended into 2017-18 and we will review it with a view to putting a permanent scheme in place from 1 April 2018.",FALSE,FALSE,770
"771","WAQ71001","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-28,"Will the Minister make a statement on the progress for refurbishing the Red Dragon Hangar to accommodate Aston Martin's development, indicating any financial contribution the Welsh Government might be liable for?","The Superhangar at St Athan is to be transformed into a car manufacturing plant by Aston Martin Lagonda. Planning permission has been granted for both the use as a car manufacturing plant and for phase one of the conversion works which focuses on the offices and part of the workshop areas. Aston Martin’s current timetable envisages commencement of the phase 1 works within the next 2-3 months and completion of all conversion works by December 2018. I regret I am unable to disclose the full commercial details but can confirm that the Welsh Government will be funding the basic works required to convert the building from aerospace use to general manufacturing.",FALSE,FALSE,771
"772","WAQ71002","Andrew R.T. Davies",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-28,"Will the Minister provide an updated statement on progress to develop the new access road to the Aston Martin facility, with specific reference to the proposed route, start and completion dates and anticipated cost?","The new “Northern Access Road” to serve the Aerospace Business Park at St Athan is proposed follow the route identified for this purpose in the Local Development Plan. The pre application planning process has commenced and a key part of this will be community consultation. Officials have already met with Llanmaes community council and Llantwit Major Town Council to share the draft proposals. A public exhibition is being planned later this year to explain the proposals to the wider community. This will be followed in the New Year by formal pre-application consultation proceedings. Until we have heard the views of the communities and obtained planning permission it is not possible to confirm the route or estimated cost.",FALSE,FALSE,772
"773","WAQ71003","Janet Finch-Saunders",2016-09-21,"Cabinet Secretary for Finance and Local Government",2016-09-27,"With regard to his response to WAQ70812, will the Minister provide an update on the report regarding Council Tax Collection Scheme pilots?","A report by the Behavioural Insights Team on applying behavioural insights to Council Tax collection in Wales is currently being finalised and will be published shortly.",FALSE,FALSE,773
"774","WAQ71004","Mark Isherwood",2016-09-21,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"What action will the Welsh Government be taking in respect of Deeside Parkway Station?","The National Transport Finance Plan sets out our commitment to undertake a feasibility study to investigate options to improve access to employment sites in the Deeside area by sustainable travel modes. As part of this work we are examining options to improve access to Deeside for rail passengers. The study includes consideration of options for new and improved rail stations, including provision of a Parkway station in Deeside.",FALSE,FALSE,774
"775","WAQ71005","Paul Davies",2016-09-22,"Cabinet Secretary for Economy and Infrastructure",2016-09-28,"Will the Minister outline what action the Welsh Government is taking to minimise any impact the road closure on the A48 outside Carmarthen will have?","The closure of the A48 eastbound in Carmarthenshire for up to six weeks is to allow works to take place on a multi-fuel pipeline from Pembroke refinery. The works are being undertaken by a third party. However, my officials have attended regular meetings to ensure the safety of road users. The contractor has conducted a comprehensive public relations exercise that includes a public consultation drop-in centre at Llangunnor village hall, a letter drop to over 1,200 properties, consultation with local community council, advertisements in the local papers and regular announcements on local radio. Extensive communication has also been undertaken between the police and emergency services, local schools and farmers that may be affected. The works are being undertaken seven days a week during daylight hours. We have planned a significant amount of our own cyclic maintenance works to coincide with this project to minimise the need for further lane closures.",FALSE,FALSE,775
"776","WAQ71006","Paul Davies",2016-09-22,"Cabinet Secretary for Economy and Infrastructure",2016-09-28,"Will the Minister confirm that the road improvements on the A48 outside Carmarthen are being undertaken on a 24-hour basis, to ensure that the work is being carried out as soon as possible?","The closure of the A48 eastbound in Carmarthenshire for up to six weeks is to allow works to take place on a multi-fuel pipeline from Pembroke refinery. The works are being undertaken by a third party. However, my officials have attended regular meetings to ensure the safety of road users. The contractor has conducted a comprehensive public relations exercise that includes a public consultation drop-in centre at Llangunnor village hall, a letter drop to over 1,200 properties, consultation with local community council, advertisements in the local papers and regular announcements on local radio. Extensive communication has also been undertaken between the police and emergency services, local schools and farmers that may be affected. The works are being undertaken seven days a week during daylight hours. We have planned a significant amount of our own cyclic maintenance works to coincide with this project to minimise the need for further lane closures.",FALSE,FALSE,776
"777","WAQ71007","Darren Millar",2016-09-22,"Cabinet Secretary for Economy and Infrastructure",2016-09-27,"Will the Minister provide details of the number of passengers using the north-south air link in each of the past 36 most recent months for which figures are available?","The attached table shows passenger journeys for the north-south air link from September 2013 and August 2016",FALSE,FALSE,777
"778","WAQ71008","Angela Burns",2016-09-22,"Cabinet Secretary for Health, Well-being and Sport",2016-10-04,"Will the Minister provide details of his government's strategy to deal with the increasing number of cases of Dystonia being diagnosed in Wales?","Our Neurological Conditions Delivery Plan sets out our expectations for the future delivery of services for people with neurological conditions such as dystonia with the patient at the centre of the services they receive. The Dystonia Society’s manifesto and the issues it raises were discussed at the September meeting of the neurological conditions implementation group when health boards were asked to consider its content in the planning of services.",FALSE,FALSE,778
"779","WAQ71009","Angela Burns",2016-09-22,"Cabinet Secretary for Health, Well-being and Sport",2016-09-30,"The response to WAQ70862, stated that no health boards employed locum GPs, so will the Minister inform me who employs the locum GPs currently working in health board managed practices across Wales?","Locum GPs are self-employed and are defined as a GP who temporarily takes the place of another GP. In managed practices, Health boards may engage locum GPs through a contract for services and pay them fees for their work.",FALSE,FALSE,779
"780","WAQ71010","Angela Burns",2016-09-22,"Cabinet Secretary for Health, Well-being and Sport",2016-09-30,"Will the Minister supply the evidence to support recent comments made by the First Minister, in FMQs on 13/09/16, that GPs surgeries under Local Health Board Management have in some cases provided a better service to that provided before they entered LHB management?","One example is Healthy Prestatyn Iach, established by Betsi Cadwaldr University Health Board in April 2016. This followed the decision of three GP practices in Prestatyn and Rhyl to terminate their contracts. This provided the health board with an opportunity to develop the Healthy Prestatyn Iach model, strengthening collaborative working by bringing together the three GP practices providing primary care services to over 26,000 patients. Patients benefit from being able to access five multi-disciplinary teams, including GPs, nurse practitioner, pharmacists, physiotherapists, occupational therapists and community health workers. This means that patients can be seen directly by the most appropriate professional for their needs so that GPs can devote their time to those patients with the most complex conditions. This model of multi-disciplinary teams is one which I encourage independent practices to consider, including through their local cluster arrangements. This enables patients to access the widest range of services in the local community to help meet their health and wellbeing needs.",FALSE,FALSE,780
"781","WAQ71011","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-10-05,"What action is the Welsh Government taking to promote responsible horse ownership across Wales?","The Wales Animal Health and Welfare Framework Implementation Plan for 2016-17 includes a commitment to both a principle for promoting animal health and welfare and one on ‘responsible ownership of animals’. A strand of work is underway to revise the equine code of practice, which will be taken forward working in partnership with key stakeholders. http://gov.wales/docs/drah/publications/160804-animal-health-welfare-framework-2016-implementation-plan-en.pdf",FALSE,FALSE,781
"782","WAQ71012","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-09-30,"Will the Minister confirm the number of times she has met her Westminster counterpart since the EU referendum result?","I have more than one Westminster counterpart. To date, I have met George Eustice, Minister of State at the Department for Environment, Food and Rural Affairs, at the Royal Welsh Show in July. I will be meeting UK Government Ministers on several occasions before Christmas.",FALSE,FALSE,782
"783","WAQ71013","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-09-28,"Will the Minister publish a list of her engagements with a) farming unions, b) rural organisations and c) her counterparts in England and Scotland between now and Christmas?","I will be continuing to meet a wide range of stakeholders between now and Christmas. The nature of Ministerial diaries is such that frequent changes are made so it would not be helpful to produce a list that could quickly become outdated.",FALSE,FALSE,783
"784","WAQ71014","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-09-30,"Will the Minister confirm the Welsh Government's position on shooting and conservation in Wales?","The shooting of birds and wild mammals in Wales is governed and regulated by legislation which includes the Game Act 1831, the Wildlife and Countryside Act 1981 (as amended), the Deer Act 1991 (as amended) and the Animal Welfare Act 2006.",FALSE,FALSE,784
"785","WAQ71015","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-09-28,"Will the Minister provide a list of the animal welfare organisations that she has met with since becoming the Cabinet Secretary for Environment and Rural Affairs?","I have met many animal welfare organisations and other bodies that have an interest in the welfare of animals, in a number of ways ranging from formal engagements to informal call-ins with their staff. This includes meetings with the RSPCA, the Animal and Plant Health Agency, the Dogs Trust, Wildlife Trust Wales, Wales Environment Link, Songbird Survival, the RSPB, the British Veterinary Association and the National Sheep Association. I also have arrangements in hand to meet shortly with Animal Welfare Network Wales, whose membership includes over 500 organisations working in animal welfare in Wales.",FALSE,FALSE,785
"786","WAQ71016","Paul Davies",2016-09-23,"Cabinet Secretary for Environment and Rural Affairs",2016-09-30,"Will the Minister confirm how much money has been allocated to the small grants scheme outlined in the Programme for Government and what the terms and conditions of that scheme are?","I recently met with the First Minister and the Cabinet Secretary for Finance and Local Government to discuss the commitments within the Programme for Government. My intention is to launch the small grant scheme through the Welsh Government Rural Communities – Rural Development Programme 2014-2020. The budget and terms and conditions will be announced in advance of the scheme being launched.",FALSE,FALSE,786
